Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
1,3,29,1,1,1,4,11,0,3,2,2,0,0,0
0,2,61,1,1,3,5,9,0,3,2,1,1,0,0
0,2,48,1,0,1,5,4,0,2,3,1,0,0,0
0,2,62,0,1,1,4,10,0,2,2,1,1,1,1
0,2,30,1,1,2,4,0,0,3,1,3,1,1,1
1,2,44,1,1,3,5,0,0,3,1,1,0,0,1
0,2,87,1,0,1,5,5,1,3,2,1,0,0,0
0,1,52,1,1,1,5,4,0,3,3,3,1,0,0
1,2,68,1,0,1,2,0,0,3,3,1,1,0,0
0,3,38,1,0,1,2,7,0,2,1,1,1,1,0
0,2,66,1,1,1,5,7,0,3,2,3,0,0,0
1,2,49,1,1,2,4,7,0,3,2,3,0,0,0
1,2,32,1,0,1,4,9,3,2,1,0,1,1,1
0,2,75,1,0,2,3,8,0,1,2,1,1,1,1
1,2,65,1,1,1,4,0,2,2,2,3,1,1,0
0,2,81,1,0,0,5,7,2,3,3,1,0,0,0
0,2,47,1,1,1,5,8,2,2,3,1,0,0,0
1,3,5,1,1,6,5,9,0,3,2,3,1,1,0
0,3,42,0,1,2,5,3,1,2,2,1,0,0,0
1,4,19,1,1,2,3,7,1,2,2,1,0,1,1
0,3,74,1,1,3,5,2,0,3,2,1,1,1,0
1,2,38,1,1,3,4,5,0,3,3,1,1,0,0
0,0,46,1,0,2,4,1,0,3,2,1,1,1,0
0,1,45,1,1,4,5,8,1,3,2,3,0,0,1
0,2,16,1,1,1,1,7,3,2,0,3,1,1,1
1,2,3,1,1,1,4,9,0,2,2,1,0,1,3
0,2,64,1,1,1,3,9,0,1,2,1,1,0,0
1,3,30,1,1,2,5,4,0,3,3,1,0,1,0
0,2,54,1,1,1,5,8,1,3,2,1,0,0,0
1,2,84,1,1,0,5,0,2,3,2,3,0,0,0
1,3,23,1,1,7,5,4,0,3,2,1,1,1,0
0,3,81,1,0,3,3,3,1,2,1,3,0,0,0
1,3,2,1,1,1,4,9,1,3,1,3,1,0,1
1,3,10,1,1,3,5,8,0,3,3,1,0,0,0
1,3,34,1,1,1,4,6,0,3,1,1,1,1,1
1,3,19,1,0,3,3,6,4,3,2,1,1,1,1
0,2,83,0,1,3,5,9,2,3,2,3,1,0,0
1,2,48,1,1,3,5,8,0,3,2,1,0,0,0
1,3,64,1,1,1,5,5,1,3,3,3,0,0,0
0,3,23,1,1,3,4,8,3,3,1,1,0,1,0
1,2,6,1,1,1,4,3,1,3,2,2,0,1,1
1,2,24,1,1,1,2,0,0,3,2,3,1,1,0
0,3,43,1,0,3,4,9,0,3,1,1,0,0,1
0,3,43,1,0,3,4,9,0,2,1,1,0,0,1
1,3,19,1,0,2,3,6,2,2,2,1,1,1,1
1,2,7,1,0,2,5,8,0,3,3,3,0,0,0
0,2,4,1,0,3,3,9,1,2,1,3,1,0,1
1,2,1,1,1,1,2,3,1,3,1,1,0,0,1
0,2,64,1,1,2,4,2,0,3,2,1,0,0,0
1,2,19,1,1,1,3,4,2,2,1,1,1,1,3
0,3,63,1,1,1,5,0,6,3,2,1,1,0,0
0,1,16,1,0,1,5,0,0,3,3,1,0,0,0
0,2,77,1,0,1,1,4,0,0,0,3,0,0,1
