Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
1,2,1,1,1,0.75,2.0,5.5,2.0,2.5,0.5,3.0,0.25,0.5,1
0,3,34,0,1,6.5,5.75,8.0,0.0,3.75,3.25,1.0,1.0,1.0,0
1,2,97,1,1,2.0,2.75,10.0,1.0,3.75,2.25,0.0,0.0,0.0,0
0,3,72,1,0,0.5,4.75,9.0,0.0,2.75,3.0,1.0,0.0,0.0,0
1,2,19,0,1,0.25,5.75,8.0,1.75,3.75,3.25,1.0,0.0,0.0,0
1,3,46,1,1,6.0,5.75,5.25,0.0,3.25,2.25,1.0,1.0,0.25,0
0,2,92,1,1,1.0,4.75,7.0,0.0,3.75,2.25,1.0,1.0,1.0,0
1,2,76,1,1,4.0,4.75,5.25,2.0,1.75,2.25,3.0,0.0,0.0,0
1,2,89,1,0,3.0,4.75,8.0,1.0,2.75,2.75,3.0,0.0,0.0,0
0,2,66,1,1,2.75,5.75,7.0,0.0,3.0,3.0,1.0,0.25,1.0,0
0,2,45,1,1,2.0,4.75,3.25,3.0,3.75,2.25,0.0,1.0,0.0,0
1,2,69,1,0,1.25,5.75,6.25,0.0,3.25,3.25,1.0,0.25,0.0,0
0,2,45,1,1,2.75,4.75,8.0,3.0,3.75,2.25,0.0,0.0,0.0,0
0,2,16,1,1,0.75,5.0,7.75,0.0,3.25,2.25,1.0,0.0,0.0,0
0,2,81,0,1,6.0,5.5,7.5,2.0,3.75,3.0,1.0,0.25,0.0,0
0,2,59,1,1,2.25,5.75,7.25,2.0,3.75,3.25,1.0,0.0,0.0,0
1,4,19,1,1,4.25,5.25,7.25,1.0,3.5,2.75,1.0,0.25,0.75,0
0,2,38,1,1,2.75,5.75,8.0,2.0,3.75,2.25,3.0,1.0,1.0,0
1,3,16,1,1,2.0,4.75,7.75,2.0,3.75,2.25,3.0,0.0,0.0,0
1,5,22,1,1,6.5,5.75,4.0,2.0,3.5,3.0,3.0,0.0,0.0,0
0,4,56,1,1,4.25,5.75,8.0,0.0,3.75,2.25,1.0,1.0,1.0,0
0,2,36,1,1,1.0,5.75,5.5,0.0,3.75,3.25,3.0,0.0,0.0,0
1,2,25,0,1,3.0,5.75,9.0,0.0,3.75,2.25,3.0,0.0,0.0,0
0,5,20,1,1,6.0,5.75,5.25,1.5,3.5,2.25,1.0,1.0,0.0,0
0,2,55,1,1,0.5,5.75,0.0,0.5,3.75,3.25,1.0,0.0,0.0,0
1,4,13,1,1,2.0,4.75,7.0,0.0,2.75,3.25,1.0,1.0,1.0,0
0,2,26,1,1,1.75,5.75,0.0,2.0,3.75,3.25,3.0,1.0,0.0,0
0,2,73,1,1,6.5,5.75,8.0,0.0,3.75,3.25,1.0,1.0,1.0,0
0,2,26,1,1,1.25,5.75,4.0,2.0,3.75,2.25,3.0,0.0,1.0,1
0,2,17,0,0,2.0,5.25,7.0,1.5,3.5,3.0,1.0,1.0,1.0,0
1,2,20,1,0,1.0,2.75,5.25,0.0,3.75,3.25,3.0,1.0,1.0,0
1,3,43,1,1,3.0,5.75,8.0,2.0,3.75,3.25,3.0,0.0,0.0,0
